Company_Name,Country,City,Founded_Year,AI_Focus,Industry,Product_or_Service,Target_Market,Business_Model,Funding_Stage,Total_Funding_USD,Latest_Funding_Date,Latest_Round,Lead_Investor,Website,LinkedIn,Funding_Source,Company_Source,Verification_Status,Research_Notes
FlapKap,Egypt,Cairo,2022,Predictive Analytics,Fintech,"AI-powered SME financing, data-driven underwriting and revenue-based funding","E-commerce, retail, restaurant and other small and medium-sized businesses",B2B,Other,37600000.0,,Pre-Series A,BECO Capital,https://www.flapkap.com/,,https://dealroom.co/news/146045-flapkap-raises-34m-pre-series-a-to-close-menas-sme-financing-gap/,https://www.flapkap.com/,Verified,Founded in Egypt in 2022. The company uses AI-powered models and alternative data for SME underwriting. August 2026 reporting states a $34M Pre-Series A comprising debt and equity and total funding of $37.6M.
Intella,Egypt,Giza,2021,Speech AI,Enterprise Software,"Arabic speech intelligence, transcription, analytics and AI-powered customer engagement tools","Enterprises, financial institutions, telecommunications companies and government organizations across MENA",B2B SaaS,Series A,16900000.0,,Series A,Prosus Ventures,https://intella.me/,,https://intella.me/en/our-blogs/intella-secures-12-5-million-series-a-led-by-prosus-to-scale-market-leading-arabic-speech-technologies,https://intella.me/en/about-us,Verified,Founded in Egypt in 2021. The company builds AI models and speech technologies for Arabic dialects. The September 2025 Series A raised $12.5M and brought reported total funding to $16.9M.
Indicina,Nigeria,Lagos,2019,Predictive Analytics,Fintech,"Machine-learning-driven credit decisioning, financial analytics and API-based credit infrastructure","Banks, non-bank lenders and fintech companies across Africa",B2B SaaS,Seed,6800000.0,,Seed,Target Global,https://indicina.co/,https://ng.linkedin.com/company/indicina-africa,https://indicina.medium.com/were-excited-to-announce-our-3-million-seed-funding-a739582c9694,https://indicina.co/about-us/,Verified,Founded in 2019. Indicina provides ML-driven financial analytics and credit decisioning infrastructure. Public funding records show earlier funding plus a $3M June 2022 Seed round led by Target Global. Total funding recorded here reflects publicly reported rounds identified during research and should be treated as disclosed funding rather than an independently audited cumulative figure.
Famasi Africa,Nigeria,Lagos,2021,AI Automation,Healthcare,"Digital pharmacy infrastructure, medication access tools and AI-assisted pharmacy and patient support","Patients, pharmacies and healthcare providers in African markets",B2B2C,Pre-Seed,,,Pre-Seed,Microtraction,https://www.famasi.me/,https://www.linkedin.com/company/famasiafrica/,https://www.linkedin.com/posts/famasiafrica_famasi-secures-pre-seed-to-build-africas-activity-7031938424546766848-nJyB,https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/famasi-ai-healthtech-startup-nigeria/,Partially Verified,"Nigeria-based digital pharmacy founded by Adeola Ayoola and Umar Faruq Akinwunmi. Google documents its AI care assistant and participation in the Google for Startups AI-First program. The company announced a pre-seed round led by Microtraction, but a reliable publicly disclosed amount was not established."
Rology,Egypt,Cairo,2017,Machine Learning,Healthcare,"AI-assisted teleradiology, diagnostic reporting and remote radiology services","Hospitals, clinics and healthcare providers across Africa and the Middle East",B2B,Other,,,Growth Round,Philips Foundation; Johnson & Johnson Impact Ventures; Sanofi Global Health Unit's Impact Fund; MIT Solve Innovation Future,https://rology.com/,,https://www.wamda.com/index.php/en/2025/12/rology-closes-growth-round-expand-ai-powered-teleradiology-mea,https://egyptinnovate.com/en/news/rology-raises-growth-round-to-scale-ai-reporting-and-teleadiology-across-mea,Verified,"Founded in 2017. Rology provides AI-assisted teleradiology and remote radiology reporting. The December 2025 growth round had participation from Philips Foundation, J&J Impact Ventures, Sanofi Global Health Unit's Impact Fund and MIT Solve Innovation Future. The round amount was not publicly disclosed."
Verascient,South Africa,Cape Town,,Generative AI,Enterprise Software,"Enterprise AI infrastructure, temporal knowledge graphs, workflows and AI agents",Businesses seeking secure enterprise AI deployment,B2B,Pre-Seed,1200000.0,,Pre-Seed,Founder Collective; Andrena Ventures; Cambridge Enterprise; Summit Ventures,https://verascient.com/,,https://disruptafrica.com/2026/08/25/sa-ai-startup-verascient-raises-1-2m-funding-to-help-companies-build-better-teams/,https://www.itweb.co.za/article/cape-town-based-ai-start-up-raises-r195m/5yONP7EroDoMXWrb,Partially Verified,Cape Town-based South African AI startup. August 2026 reporting confirms a ZAR19.5M ($1.2M) pre-seed round. A reliable public source establishing the exact founding year was not identified.
Flowt,Kenya,Nairobi,,Predictive Analytics,Climate Tech,AI-driven financial intelligence that converts business financial records into lender-ready data,"Climate-smart businesses, lenders and financial institutions in Africa",B2B,Pre-Seed,,,Pre-Seed,Delta40 Fund I; Impacc; Argidius Foundation,https://flowt.co/,,https://disruptafrica.com/2026/08/26/kenyan-ai-startup-flowt-raises-pre-seed-funding-round/,https://disruptafrica.com/2026/08/26/kenyan-ai-startup-flowt-raises-pre-seed-funding-round/,Partially Verified,Nairobi-based Kenyan AI startup founded by Elana Laichena. The August 2026 pre-seed round was reported as undisclosed. The company uses AI to convert messy financial records into lender-ready data.
3C Coding School,Egypt,Cairo,2015,AI Automation,Education,"Coding, AI and technology education with an AI-powered personalized learning platform",Children and young people across Egypt and the wider Middle East,B2C,Seed,3000000.0,,Seed,MRG Economic Group,https://3cschool.net/,https://www.linkedin.com/company/3c-creative-children-community/,https://egyptinnovate.com/en/news/egyptian-edtech-platform-3c-coding-school-secures-3-million-in-seed-funding,https://www.linkedin.com/company/3c-creative-children-community/,Verified,Founded in Cairo in 2015. The company provides coding and AI education for young learners and is developing an AI-powered personalized learning platform. September 2026 Seed round raised $3M led by MRG Economic Group.
Fastagger,Kenya,Nairobi,2019,Machine Learning,Enterprise Software,Edge AI infrastructure enabling machine-learning models and intelligent agents to run on low-power devices,"African MSMEs, developers and organizations operating in low-connectivity environments",B2B,Other,,,Non-Equity Assistance,Google for Startups,https://fastagger.com/,https://www.linkedin.com/company/fastagger/,https://www.linkedin.com/company/fastagger/,https://blog.google/intl/en-africa/company-news/outreach-and-initiatives/how-this-kenyan-startup-is-using-ai-to-help-msmes-grow/,Partially Verified,Founded in Kenya in 2019. Fastagger develops AI infrastructure for low-power and intermittently connected devices. Public sources identify accelerator and non-equity support but do not establish a reliable cumulative funding amount.
Dial Afrika,Kenya,Nairobi,2019,NLP,Enterprise Software,"AI-powered customer service, cloud communications and inbound/outbound customer interaction tools",Businesses and African SMEs requiring customer communication infrastructure,B2B SaaS,Seed,900000.0,,Seed,,https://dialafrika.com/,,https://www.cbinsights.com/company/dial-afrika,https://www.cbinsights.com/company/dial-afrika,Partially Verified,Founded in Nairobi in 2019. Public company databases describe Dial Afrika as an AI-powered customer-service B2B SaaS company and report approximately $900K total funding. The latest round date and lead investor were not sufficiently established from stronger public sources.
ChatBots Africa,Ghana,Accra,2020,NLP,Enterprise Software,"AI-powered social chatbots for customer engagement, sales and business-process automation","African SMEs and organizations using WhatsApp, Instagram and Facebook",B2B SaaS,Other,,,,,https://chatbotsafrica.com/,,,https://chatbotsafrica.com/about-us/,Partially Verified,Company states that it was founded in 2020 and provides AI chatbot tools for SMEs. Earlier reporting documented the Ghana-based startup as bootstrapped and seeking seed funding. No reliable publicly disclosed funding amount or completed funding round was established during this research pass.
CoAmana,Kenya,Nairobi,2018,Predictive Analytics,Agriculture,"AI and data-driven infrastructure for informal food markets, market intelligence, trade coordination and agricultural supply chains","Governments, market associations, agribusinesses, farmers and traders across African markets",B2B,Seed,700000.0,,Investment and Grant Funding,Village Capital; GIZ,https://coamana.com/,https://www.linkedin.com/company/coamana-market/,https://coamana.com/author/maureen/,https://coamana.com/,Verified,"Founded in 2018 and operating across Kenya and Nigeria. CoAmana develops technology, data and AI infrastructure for informal food markets. Public sources document a USD 500K Village Capital investment and a later USD 200K GIZ grant."
Duck,Kenya,Nairobi,2024,Predictive Analytics,E-commerce,"Real-time retail data intelligence for monitoring stock, pricing, competitor activity and consumer behaviour","Consumer brands, retailers and FMCG companies across African markets",B2B SaaS,Pre-Seed,,,Pre-Seed,,https://www.getduck.co/,https://www.linkedin.com/company/getduck/,,https://www.getduck.co/,Partially Verified,"Nairobi-based retail data intelligence company incorporated in Kenya in 2024. Duck uses AI and real-time retail data to help brands understand stock levels, pricing and product performance. Public sources identify pre-seed funding but a reliable publicly disclosed amount was not established."
ReportsAI,Kenya,Nairobi,2025,Generative AI,Enterprise Software,"AI-powered impact data management, knowledge management, grant discovery and automated reporting","NGOs, development organisations, impact investors, social enterprises and other impact-focused organisations",B2B SaaS,Pre-Seed,100000.0,,Pre-Seed,Antler,https://reports-ai.app/,https://www.linkedin.com/company/reports-ai/,https://www.preqin.com/data/profile/asset/reportsai-inc-/799332,https://reports-ai.app/about.php,Verified,"ReportsAI launched in 2025 and has a significant Nairobi/Kenya presence. The company builds an AI-powered platform for impact data, reporting and institutional knowledge. Antler provided publicly reported early-stage funding of USD 100K."
VunaPay,Kenya,Nairobi,2022,Predictive Analytics,Agriculture,"Fintech and data infrastructure for agricultural cooperatives, including payments and financial services for smallholder farmers","Agricultural cooperatives, farmers and agribusinesses across Africa",B2B2C,Seed,40000.0,,Incubator/Accelerator,Google for Startups Accelerator Africa,https://vunapay.com/,https://www.linkedin.com/company/vunapay/,https://www.cbinsights.com/company/vunapay/financials,https://vunapay.com/,Partially Verified,Kenyan fintech and data infrastructure company focused on cooperatives and smallholder farmers. Public sources document earlier funding activity and participation in Google for Startups Accelerator Africa. The publicly reported cumulative amount should be treated cautiously because funding databases may not capture all non-disclosed support.
Safiri,Tanzania,Dar es Salaam,2020,Predictive Analytics,Mobility,"Digital transportation and tourism infrastructure using mapping, routing, mobility data and AI","Passengers, transport operators, tourism businesses and mobility users across African cities",B2C,Other,,,,,https://safiri.app/,https://tz.linkedin.com/company/appsafiri,,https://tz.linkedin.com/company/appsafiri,Partially Verified,"Founded in Tanzania in 2020 and headquartered in Dar es Salaam. Safiri develops digital infrastructure for transportation, routing and tourism. The company was selected for Google for Startups Accelerator Africa Class 10, which identifies it as an AI-driven African startup. No reliable publicly disclosed funding amount was established."
eMaisha Pay,Uganda,Kampala,2021,Predictive Analytics,Agriculture,"Digital financial services, payments, savings and alternative-data credit scoring for agricultural businesses","Smallholder farmers, agricultural cooperatives and agribusiness MSMEs",B2B2C,Other,650000.0,,Incubator/Accelerator,Google for Startups Accelerator Africa,https://www.emaishapay.com/,https://www.linkedin.com/company/emaisha-pay/,https://www.cbinsights.com/company/emaisha-pay,https://www.emaishapay.com/,Verified,"Founded in Kampala in 2021. eMaisha Pay provides financial services for agricultural MSMEs and uses alternative data, psychometric analytics and machine learning for credit assessment. Public databases report approximately USD 650K in total funding."
MasteryHive AI,Nigeria,Lagos,,AI Automation,Fintech,"AI-native transaction reconciliation, fraud detection and anti-money-laundering monitoring","Banks, fintech companies and financial institutions",B2B SaaS,Other,,,Incubator/Accelerator,Google for Startups Accelerator Africa,https://masteryhive.ai/,https://www.linkedin.com/company/masteryhive/,https://www.crunchbase.com/organization/masteryhive,https://masteryhive.ai/,Partially Verified,Lagos-based AI-native fintech platform. Google identifies MasteryHive AI as part of its 2026 African AI accelerator cohort. Public funding records identify Google accelerator support but do not establish a reliable disclosed cumulative funding amount or founding year.
Regxta,Nigeria,Lagos,2018,Predictive Analytics,Fintech,Alternative-data credit scoring and digital-agent distribution for financial products,"Unbanked individuals, micro-businesses and financial institutions in underserved African markets",B2B2C,Other,20000.0,,Incubator/Accelerator,,https://www.regxta.com/,https://www.linkedin.com/company/regxta/,https://www.cbinsights.com/company/regxta,https://www.regxta.com/,Partially Verified,"Lagos-based fintech using alternative data and AI-driven credit scoring for underserved individuals and micro-businesses. Public sources report accelerator and programme funding, but the available cumulative funding figure is not necessarily a complete representation of all capital raised."
Termii,Nigeria,Lagos,2017,AI Automation,Enterprise Software,"AI-native communications infrastructure for reliable OTPs, transaction alerts, messaging and customer engagement","Banks, fintech companies, e-commerce businesses and digital platforms across Africa",B2B SaaS,Other,5000000.0,,Growth Financing,Ventures Platform,https://termii.com/,https://www.linkedin.com/company/termii/,https://techcrunch.com/2023/06/12/nigerias-termii-to-launch-mobile-app-and-scale-customer-engagement-business-with-new-funding/,https://www.ycombinator.com/companies/termii,Verified,"Founded in Lagos in 2017. Termii provides communications infrastructure and has evolved into an AI-native reliability platform. TechCrunch reported USD 3.65M in new financing in June 2023, bringing total funding to slightly more than USD 5M."
Vambo AI,South Africa,Johannesburg,2023,NLP,Enterprise Software,"Multilingual AI infrastructure for translation, speech recognition, text-to-speech and generative AI across African languages","Businesses, developers, educational organisations and users requiring African-language technology",B2B2C,Other,,,Incubator/Accelerator,Google for Startups Accelerator Africa,https://vambo.ai/,https://www.linkedin.com/company/vambo-ai/,https://vambo.ai/grants,https://vambo.ai/about,Verified,"Founded in 2023 and based in Johannesburg. Vambo AI develops multilingual language technology for African languages. Its public grants page documents support from the Mastercard Foundation, Meta Llama Impact Grant, UNDP Compute Accelerator and other programmes. Funding amounts are not consistently disclosed, so no cumulative amount is estimated."
PowerLabs,Nigeria,Lagos,,Predictive Analytics,Energy,AI-enabled energy management and optimization platform for commercial and industrial power systems,"Commercial and industrial businesses, energy operators and organisations managing distributed power assets",B2B SaaS,Pre-Seed,,,Pre-Seed,Breega,https://powerlabs.ai/,,https://punchng.com/startup-secures-funding-to-address-electricity-challenges/,https://powerlabs.ai/,Verified,"Lagos-based energy and climate-tech startup. Its Pai Enterprise platform uses AI to optimize distributed energy systems. A 2026 pre-seed round was led by Breega with participation from Catalyst Fund, Mercy Corps Ventures and Kaleo Ventures. The funding amount was not publicly disclosed."
Refiant AI,South Africa,Durban,2025,Generative AI,Enterprise Software,"AI model compression and long-context infrastructure designed to reduce compute, energy use and deployment costs","AI developers, technology companies and enterprises deploying large AI workloads",B2B SaaS,Seed,5000000.0,,Seed,VoLo Earth Ventures,https://refiant.ai/,,https://techcabal.com/2026/04/09/refiant-ai-raise-5-million/,https://www.refiant.ai/company,Verified,"South Africa-founded AI startup with a Durban connection and a US corporate base. Founded in 2025. Refiant develops compact, energy-efficient AI models and long-context infrastructure. It raised a $5M seed round led by VoLo Earth Ventures in April 2026."
Ridelink,Uganda,Kampala,2017,Predictive Analytics,Logistics,"AI-powered logistics marketplace, shipment intelligence and embedded trade-finance infrastructure","Businesses, SMEs, transporters and cross-border traders across African logistics corridors",B2B,Pre-Seed,2030000.0,,Pre-Seed,Morgan Stanley Inclusive & Sustainable Ventures; Digital Africa Fuzé Fund,https://ride-link.com/,https://www.linkedin.com/company/ridelinkinc/,https://techcabal.com/2025/11/17/ridelink-a1-powered-logistics-marketplace/,https://au-startups.com/startups/ridelink,Verified,"Ugandan logistics technology company founded in 2017. Ridelink uses AI to predict carriers, routes and pricing and combines logistics data with embedded trade finance. Its November 2025 pre-seed round raised $1.1M; public funding databases report approximately $2.03M across disclosed rounds."
Yamify,Democratic Republic of the Congo,Kinshasa,2024,AI Automation,Enterprise Software,"AI and cloud infrastructure that enables developers, startups and agencies to deploy GPU-powered AI tools from African data centres","Developers, startups, freelancers, web agencies and businesses building AI products in African markets",B2B SaaS,Pre-Seed,100000.0,,Pre-Seed,Launch Africa Ventures,https://yamify.co/,,https://disruptafrica.com/2026/06/05/africa-focused-yamify-heroku-for-ai-in-africa-secures-pre-seed-funding/,https://www.dealroom.co/companies/yamify,Verified,"Africa-focused AI infrastructure company founded by Luc Okalobé. Public reporting identifies a $100K initial investment from Felix Anane in 2025 and a subsequent pre-seed investment from Launch Africa Ventures in June 2026. The size of the Launch Africa investment was not disclosed, so the recorded total reflects only the publicly disclosed $100K amount."
BrainsMingle,Egypt,Cairo,,Generative AI,Enterprise Software,"AI-powered professional networking and knowledge-sharing platform combining video, community, scheduling and professional services","Professionals, experts, universities, accelerators and enterprise organisations",B2B2C,Pre-Seed,400000.0,,Pre-Seed,BasharSoft Group,https://brainsmingle.com/,,https://egyptinnovate.com/en/news/brainsmingle-closes-400000-pre-seed-funding-round-led-by-basharsoft-group,https://www.brainsmingle.com/,Verified,Cairo-based AI-powered professional networking platform. BrainsMingle closed a $400K pre-seed round led by BasharSoft Group in June 2026.
Tennsa,South Africa,Cape Town,2025,AI Automation,Enterprise Software,AI-powered operational intelligence platform connecting business systems and identifying actions requiring attention,"Manufacturers, wholesalers, distributors and retailers",B2B SaaS,Pre-Seed,61000.0,,Pre-Seed,Oakvale Invest,https://tennsa.com/,,https://african-startups.com/countries/south-africa/cape-towns-tennsa-secures-pre-seed-funding-from-family-backed-ai-fund-oakvale-invest/,https://rivarmaharaj.com/,Verified,"Cape Town-based AI software company founded by Rivar Maharaj. Tennsa OS acts as an operational intelligence layer across accounting, stock, payments and email systems. In August 2026, Oakvale Invest backed the company with more than $61K (ZAR 1M) in pre-seed funding."
Mathesis Analytics,Nigeria,Lagos,,Predictive Analytics,Fintech,AI-powered credit decisioning infrastructure using behavioural and transactional data to assess borrower creditworthiness,"Banks, fintech companies, lenders and financial institutions",B2B SaaS,Seed,,,Seed,First Ally Capital,https://mathesis.io/,,https://businessday.ng/technology/article/first-ally-capital-backs-mathesis-to-scale-ai-credit-infrastructure-across-nigeria/,https://au-startups.com/startups/mathesis-analytics,Verified,Nigerian fintech company providing AI-powered credit decisioning infrastructure. Its technology uses alternative behavioural and transactional data to support lending decisions. First Ally Capital made an undisclosed investment in July 2026. The investment amount is therefore not estimated.
